CHURN,Gender,Status,Children,EstIncome,CarOwner,Age,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan
"T","F","S",1,38000.000000,"N",24,23.560000,0.000000,206.080000,0,"CC","Budget","Intnl_discount",229,3
"F","M","M",2,29616.000000,"N",49,29.780000,0.000000,45.500000,0,"CH","FreeLocal","Standard",75,2
"F","M","M",0,19732.800000,"N",50,24.810000,0.000000,22.440000,0,"CC","FreeLocal","Standard",47,3
"F","M","S",2,96.330000,"N",56,26.130000,0.000000,32.880000,1,"CC","Budget","Standard",59,1
"F","F","M",2,52004.800000,"N",25,5.030000,0.000000,23.110000,0,"CH","Budget","Intnl_discount",28,1
"F","M","M",2,53010.800000,"N",18,12.450000,0.000000,46.420000,4,"CC","FreeLocal","Standard",58,1
"F","M","M",1,75004.500000,"N",64,26.520000,0.000000,32.190000,0,"CC","Budget","Intnl_discount",58,1
"F","M","M",0,19749.300000,"N",60,20.220000,0.000000,13.940000,0,"CC","Budget","Standard",34,3
"F","M","S",1,57626.900000,"Y",43,9.380000,0.000000,38.960000,0,"CC","Budget","Standard",48,2
"F","M","M",2,20078.000000,"N",32,9.650000,0.000000,6.330000,0,"CC","Budget","Intnl_discount",15,4
"F","F","M",2,47902.000000,"N",26,17.440000,4.940000,49.920000,1,"Auto","FreeLocal","Standard",72,2
"T","M","M",1,7545.960000,"Y",16,22.390000,0.000000,178.360000,0,"CC","Budget","Standard",200,3
"T","F","S",0,78851.300000,"N",48,0.370000,0.000000,28.660000,0,"CC","FreeLocal","Standard",29,4
"T","F","S",1,17540.700000,"Y",62,22.170000,0.570000,13.450000,0,"Auto","Budget","Standard",36,4
"T","F","M",0,83891.900000,"Y",61,28.920000,0.000000,45.470000,0,"CH","Budget","Standard",74,4
"T","F","M",2,28220.800000,"N",38,26.490000,0.000000,12.460000,0,"CC","FreeLocal","Standard",38,4
"T","F","S",0,28589.100000,"N",15,13.190000,0.000000,87.090000,0,"CC","FreeLocal","Standard",100,4
"F","F","M",2,5237.630000,"N",48,13.320000,8.050000,56.640000,0,"CC","Budget","Standard",78,2
"T","M","S",2,89459.900000,"N",53,11.540000,1.610000,22.900000,0,"CC","FreeLocal","Standard",36,2
"T","F","S",1,13576.500000,"N",39,14.830000,0.000000,25.660000,0,"CC","Budget","Standard",40,1
"T","F","M",2,67388.000000,"N",53,4.790000,0.500000,91.040000,1,"CC","Budget","Standard",96,3
"F","F","M",1,57063.000000,"Y",52,16.790000,0.000000,81.300000,0,"CH","Budget","Standard",98,4
"T","F","M",2,84166.100000,"N",54,3.280000,0.000000,11.740000,1,"CC","Budget","Standard",15,2
"T","F","S",1,7737.940000,"N",42,11.050000,0.000000,50.840000,0,"CC","FreeLocal","Standard",61,4
"T","M","S",2,100020.000000,"N",50,21.370000,0.000000,293.240000,0,"CH","Budget","Standard",314,4
"F","F","M",2,45287.600000,"Y",29,0.000000,0.000000,2.970000,0,"CC","Budget","Standard",2,3
"T","F","M",2,59613.100000,"N",34,12.370000,0.000000,163.410000,0,"CC","Budget","Intnl_discount",175,1
"T","F","S",1,16326.700000,"N",50,0.000000,0.000000,1.340000,0,"CC","FreeLocal","Intnl_discount",1,1
"T","F","S",2,9559.780000,"N",51,18.310000,0.000000,59.590000,0,"CC","FreeLocal","Standard",77,3
"F","F","M",2,42031.800000,"N",50,20.450000,0.000000,39.330000,0,"CH","Budget","Intnl_discount",59,4
"F","F","M",2,83284.100000,"Y",28,26.910000,0.000000,9.040000,0,"Auto","FreeLocal","Intnl_discount",35,4
"F","M","M",1,39229.100000,"N",26,28.820000,4.740000,13.530000,0,"CC","Budget","Intnl_discount",47,4
"F","F","S",0,68427.400000,"N",42,23.760000,0.000000,50.050000,0,"Auto","FreeLocal","Standard",73,3
"T","M","S",0,3601.710000,"N",49,9.570000,4.190000,111.840000,0,"Auto","Budget","Intnl_discount",125,4
"F","F","M",0,72642.600000,"N",27,18.660000,0.000000,20.340000,0,"CH","FreeLocal","Intnl_discount",39,4
"T","F","S",0,98716.300000,"N",55,20.970000,8.230000,13.920000,0,"CC","FreeLocal","Standard",43,4
"F","F","S",2,66182.700000,"Y",62,11.700000,0.000000,47.170000,0,"Auto","Budget","Standard",58,2
"T","F","M",2,84789.300000,"N",50,14.220000,8.800000,10.450000,0,"CH","FreeLocal","Standard",33,4
"T","F","M",2,35976.500000,"Y",48,18.850000,0.000000,31.780000,0,"Auto","FreeLocal","Intnl_discount",50,4
"F","F","M",0,32703.100000,"Y",64,16.800000,0.000000,56.090000,0,"CC","Budget","Intnl_discount",72,4
"F","F","M",1,77129.100000,"Y",61,24.770000,0.000000,20.070000,0,"CH","FreeLocal","Intnl_discount",44,4
"F","F","M",2,8204.720000,"N",52,15.590000,0.000000,24.190000,0,"CH","FreeLocal","Standard",39,3
"T","M","M",1,97180.400000,"N",50,8.210000,9.630000,45.660000,0,"CC","FreeLocal","Standard",63,4
"F","F","M",0,80405.100000,"N",60,2.910000,8.950000,17.110000,0,"CC","FreeLocal","Standard",28,4
"T","F","S",2,38280.000000,"N",33,11.640000,0.000000,74.970000,0,"Auto","FreeLocal","Intnl_discount",86,4
"T","M","S",0,64136.600000,"Y",61,16.210000,1.000000,125.150000,0,"CC","FreeLocal","Intnl_discount",142,2
"T","F","M",2,45429.700000,"Y",61,24.700000,0.000000,73.040000,0,"CH","FreeLocal","Standard",97,2
"T","F","S",0,25285.500000,"N",53,9.370000,0.000000,11.930000,0,"CC","FreeLocal","Standard",21,1
"F","F","M",2,77551.100000,"Y",33,20.530000,0.000000,41.890000,1,"CC","Budget","Intnl_discount",62,2
