IS_TENT,GENDER,AGE,MARITAL_STATUS,PROFESSION
FALSE,M,27,Single,Professional
FALSE,F,39,Married,Other
FALSE,F,39,Married,Other
FALSE,F,56,Unspecified,Hospitality
FALSE,M,45,Married,Retired
FALSE,M,45,Married,Retired
FALSE,F,39,Married,Other
FALSE,F,49,Married,Other
FALSE,F,49,Married,Other
FALSE,M,47,Married,Retired
FALSE,M,47,Married,Retired
FALSE,M,21,Single,Retail
FALSE,F,66,Married,Other
FALSE,F,35,Married,Professional
FALSE,M,20,Single,Sales
FALSE,M,20,Single,Sales
FALSE,M,20,Single,Sales
FALSE,F,37,Single,Other
FALSE,M,42,Married,Other
TRUE,F,24,Married,Retail
FALSE,F,24,Married,Retail
FALSE,M,29,Single,Retail
FALSE,M,29,Single,Retail
TRUE,M,43,Married,Trades
FALSE,M,43,Married,Trades
TRUE,F,43,Unspecified,Hospitality
FALSE,F,43,Unspecified,Hospitality
FALSE,F,43,Unspecified,Hospitality
TRUE,F,43,Unspecified,Hospitality
FALSE,M,29,Single,Other
FALSE,M,41,Married,Professional
FALSE,M,32,Married,Other
FALSE,M,34,Married,Sales
FALSE,F,18,Single,Student
FALSE,F,31,Married,Executive
TRUE,M,28,Single,Trades
FALSE,F,24,Single,Student
TRUE,F,29,Single,Other
FALSE,F,29,Single,Other
FALSE,F,68,Unspecified,Hospitality
TRUE,M,42,Married,Trades
FALSE,M,42,Married,Trades
TRUE,F,33,Married,Hospitality
FALSE,F,33,Married,Hospitality
FALSE,F,33,Married,Hospitality
FALSE,F,54,Married,Other
FALSE,F,54,Married,Other
FALSE,F,54,Married,Other
FALSE,M,38,Married,Executive
FALSE,M,38,Married,Executive
FALSE,M,38,Married,Executive
TRUE,M,24,Single,Other
FALSE,F,24,Unspecified,Other
FALSE,F,24,Unspecified,Other
FALSE,F,20,Single,Retail
FALSE,F,20,Single,Retail
FALSE,F,29,Single,Professional
FALSE,M,40,Married,Other
FALSE,F,49,Unspecified,Hospitality
FALSE,F,26,Single,Other
FALSE,F,51,Unspecified,Hospitality
FALSE,M,29,Single,Professional
FALSE,F,33,Married,Executive
FALSE,M,47,Married,Professional
FALSE,F,38,Married,Other
FALSE,F,39,Married,Executive
FALSE,M,29,Single,Professional
FALSE,M,29,Single,Professional
FALSE,F,33,Married,Executive
FALSE,F,20,Single,Professional
FALSE,M,31,Married,Other
FALSE,F,31,Single,Other
FALSE,F,42,Married,Other
FALSE,F,42,Married,Other
FALSE,F,42,Married,Other
TRUE,M,21,Single,Trades
FALSE,F,65,Married,Other
FALSE,F,65,Married,Other
FALSE,F,41,Unspecified,Hospitality
FALSE,F,41,Unspecified,Hospitality
FALSE,M,17,Single,Student
FALSE,M,55,Married,Trades
FALSE,M,55,Married,Trades
FALSE,M,55,Married,Trades
FALSE,M,55,Married,Trades
FALSE,F,52,Married,Executive
FALSE,M,35,Married,Trades
FALSE,F,34,Single,Retail
TRUE,M,25,Single,Other
FALSE,M,25,Single,Other
FALSE,M,25,Single,Other
FALSE,F,18,Single,Retail
FALSE,F,19,Single,Other
FALSE,M,36,Single,Professional
FALSE,M,33,Married,Professional
TRUE,M,33,Married,Sales
FALSE,F,30,Single,Professional
FALSE,F,29,Single,Other
FALSE,F,29,Single,Other
FALSE,M,21,Single,Sales
FALSE,M,21,Single,Sales
FALSE,F,44,Married,Other
FALSE,M,21,Single,Student
FALSE,M,21,Single,Student
FALSE,M,46,Married,Trades
FALSE,F,47,Married,Sales
FALSE,F,34,Single,Professional
FALSE,F,24,Single,Professional
FALSE,F,27,Single,Retail
FALSE,F,28,Single,Professional
FALSE,M,26,Married,Other
FALSE,M,26,Married,Other
FALSE,M,29,Single,Professional
FALSE,M,29,Single,Professional
FALSE,M,29,Single,Professional
FALSE,F,23,Single,Professional
FALSE,M,27,Single,Other
FALSE,F,26,Married,Executive
FALSE,F,26,Married,Executive
FALSE,F,20,Single,Other
FALSE,M,26,Single,Other
FALSE,M,33,Married,Other
FALSE,M,33,Married,Other
FALSE,F,19,Single,Other
FALSE,F,19,Single,Other
TRUE,F,26,Married,Other
FALSE,F,26,Married,Other
FALSE,F,40,Married,Other
FALSE,F,40,Married,Other
FALSE,F,40,Married,Other
FALSE,M,40,Single,Other
FALSE,M,40,Single,Other
TRUE,M,40,Single,Other
FALSE,M,40,Single,Other
FALSE,M,40,Single,Other
FALSE,M,44,Single,Other
FALSE,M,44,Single,Other
FALSE,M,43,Married,Trades
FALSE,M,43,Married,Trades
FALSE,F,24,Single,Retail
FALSE,M,28,Unspecified,Sales
FALSE,F,22,Single,Professional
FALSE,F,20,Married,Retail
FALSE,F,46,Married,Retail
FALSE,M,31,Unspecified,Sales
FALSE,M,31,Unspecified,Sales
FALSE,M,31,Unspecified,Sales
FALSE,M,31,Unspecified,Sales
FALSE,M,31,Unspecified,Sales
FALSE,F,23,Single,Student
FALSE,F,23,Single,Student
FALSE,F,37,Married,Other
FALSE,F,37,Married,Other
FALSE,F,50,Married,Other
FALSE,F,18,Single,Student
FALSE,M,30,Single,Trades
FALSE,F,67,Married,Other
FALSE,M,30,Married,Other
FALSE,M,24,Single,Professional
FALSE,F,31,Married,Other
FALSE,F,31,Married,Other
FALSE,M,35,Married,Other
FALSE,M,41,Married,Trades
FALSE,M,41,Married,Trades
FALSE,F,25,Single,Other
FALSE,F,23,Single,Other
FALSE,F,25,Single,Other
FALSE,F,30,Married,Hospitality
FALSE,M,49,Unspecified,Trades
FALSE,M,39,Married,Other
TRUE,F,34,Married,Other
FALSE,F,34,Married,Other
TRUE,M,28,Single,Student
FALSE,F,42,Married,Other
FALSE,F,27,Single,Other
TRUE,M,25,Single,Professional
FALSE,M,55,Married,Other
FALSE,M,27,Married,Other
FALSE,M,27,Married,Other
FALSE,F,19,Single,Professional
FALSE,M,50,Married,Professional
FALSE,F,33,Married,Other
FALSE,F,33,Married,Other
FALSE,M,35,Married,Sales
FALSE,M,26,Married,Sales
FALSE,M,26,Married,Sales
FALSE,F,31,Married,Retail
FALSE,F,31,Married,Retail
TRUE,M,42,Married,Sales
FALSE,M,42,Married,Sales
FALSE,F,40,Married,Other
FALSE,F,40,Married,Other
FALSE,F,21,Married,Other
FALSE,F,19,Single,Other
FALSE,F,43,Married,Other
FALSE,F,43,Married,Other
FALSE,F,31,Married,Other
FALSE,F,31,Married,Other
FALSE,F,49,Married,Executive
FALSE,F,49,Married,Executive
FALSE,M,43,Married,Trades
FALSE,M,43,Married,Trades
TRUE,F,29,Single,Hospitality
FALSE,F,29,Single,Hospitality
TRUE,F,24,Single,Retail
FALSE,M,20,Single,Other
FALSE,M,20,Single,Other
FALSE,M,33,Married,Executive
FALSE,M,19,Single,Other
FALSE,M,27,Married,Other
FALSE,M,27,Married,Executive
FALSE,M,27,Married,Executive
FALSE,M,27,Married,Executive
FALSE,F,22,Single,Other
